titre,categorie,sous_categorie,destination,lieu,url,prix_des,duree,age_min,niveau,politique_annulation,langues,point_de_rdv,comprend,ne_comprend_pas,a_prevoir,pre_requis,conditions_particulieres,organisateur,note,nb_avis,points_forts,resume,seo_title,slug,meta_description,image_url_1,image_url_2,image_url_3
"Randonnée à cheval au Piton de la Fournaise, au cœur des paysages volcaniques",Terre,Balade à cheval,Île de la Réunion,"Piton de la Fournaise, Saint-Benoît",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/piton-de-la-fournaise/balade-a-cheval/randonnee-a-cheval-au-volcan-du-piton-de-la-fournaise-la-reunion/11749?_cid=1985,Dès 180 €,1 jour,12 ans,Sportif,Flexible,français,"Ferme équestre du Grand Etang, RN3 pont payet 97470 Saint Benoit",Bombe | Transport jusqu'au lieu de balade | Repas du midi,,Baskets | Pantalon long | Bouteille d'eau | Maillot de bain | Pull | Imperméable,"Être cavalier confirmé et à l’aise aux 3 allures (pas, trot, galop). Pantalon long obligatoire (pas de short).",Minimum 3 participants. Le prix inclut le déplacement jusqu'au lieu de balade avec les chevaux.,Ferme équestre du Grand Étang,,,Volcan du Piton de la Fournaise | Traversée de la Plaine des Sables | Paysages tropicaux et volcaniques,"Randonnée équestre d’une journée pour cavaliers confirmés au Piton de la Fournaise, avec passage par la Plaine des Sables.",Randonnée à cheval au Piton de la Fournaise (La Réunion),randonnee-cheval-piton-fournaise-reunion,"Randonnée à cheval d’1 jour pour cavaliers confirmés au Piton de la Fournaise à La Réunion : Plaine des Sables, panoramas volcaniques, repas inclus.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/5c99c4f5cd25a8f8ff0a4168a1dee941","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/5c99c4f5cd25a8f8ff0a4168a1dee941","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/7ae000d7a23df9b99ce5281421c5726b"
"Randonnée à cheval au Bassin Bœuf, avec nage avec les chevaux",Terre,Balade à cheval,Île de la Réunion,"Rivière des Marsouins / Bassin Bœuf, Saint-Benoît",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/riviere-des-marsouins-saint-benoit/balade-a-cheval/randonnee-a-cheval-au-bassin-boeuf-a-la-reunion/11752?_cid=1985,Dès 150 €,1 jour,12 ans,Sportif,Flexible,français,"Ferme équestre du Grand Etang, RN3 pont payet 97470 Saint Benoit",Bombe | Repas du midi,,Baskets | Pantalon long | Maillot de bain et serviette | Bouteille d'eau,"Être cavalier confirmé et à l’aise aux 3 allures (pas, trot, galop). Savoir nager. Pantalon long obligatoire (pas de short). Minimum 2 participants.",Arriver 15 minutes avant. Activité dépendante de la météo : fortes intempéries = annulation.,Ferme équestre du Grand Étang,,,Randonnée dans l’Est | Découverte faune/flore | Nage avec les chevaux,"Sortie équestre sportive d’une journée jusqu’au Bassin Bœuf, avec repas et session de nage avec les chevaux.",Randonnée à cheval au Bassin Bœuf (La Réunion),randonnee-cheval-bassin-boeuf-reunion,"Randonnée à cheval d’1 jour au Bassin Bœuf à La Réunion (niveau sportif) : balade, repas inclus et nage avec les chevaux.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/2c51c40bcc3298c9661eb6c7c359defe","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/43b17ff75478e7d750723647506360f2","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/d6489f41e451dfed3dfe5bb4b0811aaa"
"Balade à poney pour enfants sur le Piton Maïdo, avec goûter inclus",Terre,Balade à cheval,Île de la Réunion,"Maïdo, Saint-Paul",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/maido-saint-paul/balade-a-cheval/balade-a-poney-pour-enfants-sur-le-piton-maido-la-reunion/25960?_cid=1985,Dès 50 €,3 h,3 ans,Accessible à tous,Flexible,"italien, allemand, anglais, français","Les Chevaux du Maido, 500 route forestière 68 de cryptomérias, saint paul 97423, La Réunion",Moniteur diplômés du BPJEPS équitation ou tourisme équestre | Bombe et chaps | Goûter,,Pantalon long et chaussures fermées | Sweat ou k-way,Poids maximum : 40kg habillé. Parent accompagnateur requis (participation gratuite) et tient le poney. Minimum 2 participants.,Accès bus compliqué : préférable d’être véhiculé. Sanitaires avec lavabo (sans douche). Terrasse couverte pour les accompagnants. Pas de vestiaire.,Les Chevaux du Maido,,,Forêt de Cryptomérias | Poney + préparation | Goûter inclus,"Activité enfants 3–10 ans au Maïdo : préparation du poney, balade encadrée et pause goûter.",Balade à poney enfants au Piton Maïdo (La Réunion),balade-poney-enfants-maido-reunion,"Balade à poney pour enfants au Piton Maïdo à La Réunion : préparation du poney, balade encadrée en forêt et goûter inclus.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/ybsi4u9iaqjwyugoqina","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/wgdjtmpxn5xzsuu2aabh","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/pl7nwhxhzrkjcdccrjjq"
"Découverte de l’équitation pour enfants au Maïdo, initiation en carrière",Terre,Balade à cheval,Île de la Réunion,"Maïdo, Saint-Paul",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/maido-saint-paul/balade-a-cheval/decouverte-de-l-equitation-pour-les-enfants-a-maido-la-reunion/25959?_cid=1985,Dès 25 €,De 1 h 30 à 3 h,3 ans,Accessible à tous,Flexible,"italien, allemand, anglais, français","Les Chevaux du Maido, 500 route forestière 68 de cryptomérias, saint paul 97423, La Réunion",Moniteur diplômés du BPJEPS équitation ou tourisme équestre | Bombe et chaps,,Pantalon long et chaussures fermées | Sweat ou k-way,Poids maximum : 30kg habillé (option 3–5 ans). Parent accompagnateur requis (participation gratuite) selon l’âge. Minimum 2 participants.,Accès bus compliqué : préférable d’être véhiculé. Sanitaires avec lavabo (sans douche). Terrasse couverte pour les accompagnants. Pas de vestiaire.,Les Chevaux du Maido,,,Préparation du poney | Initiation en carrière | Options selon l’âge,"Initiation équitation 3–10 ans au Maïdo : préparation du poney, apprentissage en carrière et, selon l’option, petite balade.",Découverte de l’équitation enfants au Maïdo (La Réunion),decouverte-equitation-enfants-maido-reunion,"Découverte de l’équitation pour enfants au Maïdo à La Réunion : préparation du poney, initiation en carrière et options selon l’âge.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/wiondrfu0l8fet5ixoes","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/it1onzx5vrulgk3qj3dq","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/xzmx814ouifgy3ymlxoq"
Canyoning de Bras Rouge au Cirque de Cilaos ,Terre,Canyoning,Île de la Réunion,Cirque de Cilaos,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/cirque-de-cilaos/canyoning/canyon-de-bras-rouge-au-cirque-de-cilaos-la-reunion/3005?_cid=1985,Dès 70 €,1/2 journée,12 ans,Occasionnellement sportif,Flexible,"français, anglais",Office de Tourisme de Cilaos,"Encadrement professionnel, matériel de sécurité (baudrier, combinaison, casque)",Repas,"Chaussures d’eau, maillot, vêtements secs, eau","Bonne condition physique, savoir nager","Rappels jusqu’à 25 m, sauts facultatifs",Cilaos Aventure,,,Rappels | Toboggans | Décor volcanique,"Canyon emblématique de Cilaos mêlant rappels, toboggans et sauts facultatifs.",Canyon de Bras Rouge au Cirque de Cilaos – La Réunion,canyon-bras-rouge-cilaos,"Découvrez le canyon de Bras Rouge à Cilaos : rappels, toboggans et paysages volcaniques.","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/c072005d1d5841f071e09ecefa4cefb2","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/1f6987cac9e8662c57e44cec2e520562","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/16b71a0fc4c946da865ff2dbe10390e8"
Canyon de Sainte-Suzanne – parcours ludique familial,Terre,Canyoning,Île de la Réunion,Rivière Sainte-Suzanne,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/riviere-sainte-suzanne/canyoning/canyon-de-sainte-suzanne-sur-lile-de-la-reunion/5409?_cid=1985,Dès 55 €,Demi-journée,10 ans,Accessible à tous,Flexible,"français, anglais",Parking rivière Sainte-Suzanne,"Encadrement, matériel canyoning","Boissons, repas","Chaussures d’eau, maillot, eau",Savoir nager,Dépend des conditions météo,Canyon Réunion Aventure,,,Toboggans | Sauts facultatifs,Canyon accessible idéal pour une première expérience.,Canyon de Sainte-Suzanne – La Réunion,canyon-sainte-suzanne,Initiez-vous au canyoning au canyon de Sainte-Suzanne à La Réunion.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/7c6ebd1f7a72eb175480462202f05a9f","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/b4416af09f90e8227bf6bfa29b11cccf","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/3a7e2f506a75d1999f826b175751a70d"
Randonnée aquatique au Bassin La Mer,Terre,Canyoning,Île de la Réunion,Rivière des Marsouins / Bassin La Mer,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/riviere-des-marsouins-saint-benoit/canyoning/randonnee-aquatique-au-bassin-la-mer-la-reunion/2918?_cid=1985,Dès 50 €,2 à 3 h,8 ans,Accessible à tous,Flexible,"français, anglais",Parking rivière des Marsouins,"Encadrement, équipement canyoning",Repas,"Chaussures d’eau, maillot, eau",Savoir nager,Selon niveau d’eau,Canyon Nature Réunion,,,Bassins naturels | Eau claire,Randonnée aquatique idéale en famille.,Randonnée aquatique au Bassin La Mer – La Réunion,randonnee-aquatique-bassin-la-mer,Profitez d’une randonnée aquatique au Bassin La Mer à La Réunion.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/6e030902768682c3e8e808de24ac905b","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/43ae39fc0b3d9b5e182c2f77746c5106","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/7a1b9708d796795d1b65f63455f28d6d"
Descente intégrale du canyon de Trou Blanc à Salazie,Terre,Canyoning,Île de la Réunion,"Cirque de Salazie, Hell-Bourg",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/cirque-de-salazie-hell-bourg/canyoning/descente-du-canyon-de-trou-blanc-au-cirque-de-salazie-la-reunion/23444?_cid=1985,Dès 90 €,6 h,13 ans,Sportif,Super flexible,"français, anglais",Hell-Bourg,"Matériel complet, photos","Transport, repas","Chaussures, pique-nique",Bonne condition physique,Rappels jusqu’à 40 m,Canyon Attitude,5,2,Rappels | Tyrolienne | Cascades,Canyon mythique et sportif de Salazie.,Canyon de Trou Blanc à Salazie – La Réunion,canyon-trou-blanc-salazie,Descendez le canyon mythique de Trou Blanc à Salazie.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/s5lltsdzivrwytsuzh2y","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/p7pcr9s7dys2dhpfjvcr","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/sy3ngclhac8ysrelxrdv"
Canyoning de Grand Galet à la rivière Langevin,Terre,Canyoning,Île de la Réunion,"Rivière Langevin, Saint-Joseph",https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/riviere-langevin-saint-joseph/canyoning/canyon-de-grand-galet-sur-lile-de-la-reunion/11253?_cid=1985,Dès 70 €,Demi-journée,12 ans,Intermédiaire,Flexible,"français, anglais",Rivière Langevin,"Encadrement, matériel canyoning",Repas,"Chaussures d’eau, eau",Savoir nager,Selon niveau d’eau,Canyon Aventures Réunion,,,Cascades | Toboggans,Canyon réputé de la rivière Langevin.,Canyon de Grand Galet – La Réunion,canyon-grand-galet,Découvrez le canyon de Grand Galet à La Réunion.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/k8drqdiaq1o0wyzv5c4t","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/pyrpoflkdepidkpxqqv9",
"Canyon de Bassin Bœuf, La Réunion",Terre,Canyoning,Île de la Réunion,Rivière Sainte-Suzanne / Bassin Bœuf,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/riviere-sainte-suzanne/canyoning/canyon-de-bassin-boeuf-a-sainte-suzanne-la-reunion/13021?_cid=1985,Dès 60 €,Demi-journée,12 ans,Intermédiaire,Flexible,"français, anglais",Parking rivière Sainte-Suzanne,"Encadrement, matériel canyoning",Repas,"Chaussures d’eau, eau",Savoir nager,Selon météo,Canyon Réunion Aventure,,,Toboggans | Sauts,Canyon ludique et varié à Bassin Bœuf.,Canyon de Bassin Bœuf – La Réunion,canyon-bassin-boeuf,Descendez le canyon de Bassin Bœuf à Sainte-Suzanne.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/cc449884264d09aa9b41c10f2a258d88","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/cc0b574547d33b721e70b610afc1d331","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1920,q_auto/ddea498a3ceada6845ccc66d9bb554e7"
" Canyoning à Takamaka, île de La Réunion",Terre,Canyoning,Île de la Réunion,Plaine-des-Palmistes / Bélouve,https://www.manawa.com/fr-FR/activite/ile-de-la-reunion/riviere-des-marsouins-saint-benoit/canyoning/descente-canyon-takamaka-la-plaine-des-palmistes-la-reunion/25937?_cid=1985,Dès 197 €,Journée,15 ans,Très sportif,Intermédiaire,"français, anglais",Parking de Bras Noir,"Encadrement, matériel canyoning",Repas,"Chaussures d’eau, pique-nique",Excellente condition physique,Rappels jusqu’à 140 m,Réunion Outdoor Activités,,,Rappels géants | Sensations fortes,Canyon extrême réservé aux pratiquants expérimentés.,Canyon de Takamaka – La Réunion,canyon-takamaka,Vivez une descente engagée du canyon de Takamaka à La Réunion.,"https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/uu4wth5p8mjunq9pvalc","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_1080,q_auto/wx1o7ok0msfpsof1qgpc","https://res.cloudinary.com/manawa/image/private/f_auto,c_limit,w_3840,q_auto/mzah8lclpyflpb0cvcoe"
